id,Thương hiệu,Dòng xe,Loại xe,Dung tích xe,Giá,Số_km_da_đi,Tuoi_xe,Km_moi_nam,Tuoi_xe_x_Km,Log_Gia,full_description
1,piaggio,vespa,tay ga,100 175 cc,66.0,14000,1.0,12727.272727272726,14000.0,4.204692619390966,bán vespa sprint 125 cc 2024 xanh dương xe đẹp 95 piaggio vespa tay ga 100 175 cc bán xe vespa sprint 125 cc mua mới tại topcom 01 2024 xe chính chủ chạy được 14 000 km giá 66 tr tl anh chị quan tâm nhắn zalo số công chứng hợp đồng mua bán trong ngày
2,honda,sh,tay ga,100 175 cc,79.5,28000,6.0,4590.163934426229,168000.0,4.388257184424518,sh 150 i thắng abs 2019 bstp chính chủ honda sh tay ga 100 175 cc bán sh 150 i thắng abs 2019 xám bạc úp team xám xi măng xe nhà sử dụng kỹ ít đi chính chủ biển số thành phố xe mới keng máy móc nguyên zin êm bốc ae qua xe xem test thoải mái mua bán tại nhà sang tên ký giấy 1 nốt nhạc xem xe tại nhà tân sơn nhì p tân sơn nhì q tân phú
3,honda,vision,tay ga,100 175 cc,37.0,12000,2.0,5714.285714285714,24000.0,3.6375861597263857,cc vision thể thao 2023 đen bộ đèn demi audi a7 honda vision tay ga 100 175 cc chính chủ bán vision phiên bản thể thao 2023 đen xe mua chính hãng tháng 10 2023 bảo dưỡng đầy đủ xe gia đình đi giữ gìn xe đã độ lên đèn demi led audi a7 và đèn hậu led audi a7 giá thị trường 5 tr còn nguyên đèn mới zin theo xe liên hệ chính chủ 09 xau xau 5 7 năm 3 sáu 7
4,piaggio,vespa,tay ga,100 175 cc,45.0,60000,6.0,9836.065573770493,360000.0,3.828641396489095,vespa sprint 2019 125 đen đỏ sport chính chủ piaggio vespa tay ga 100 175 cc xe cá nhân bán xe do em đứng tên chính chủ chi tiết hình ảnh xe đã có đủ cần thì liên hệ em sản phẩm theo xe zin còn kính bao tay cảng sau chìa khóa còn đủ có fix thêm cho anh chị về sơn dậm lại xem xe chi tiết quận 1 liên hệ trao đổi qua giàlô không 933940 bốn ba hai
5,yamaha,latte,tay ga,100 175 cc,23.0,24000,4.0,5853.658536585366,96000.0,3.1780538303479458,xe tay ga yamaha latte 125 đăng ký 2021 yamaha latte tay ga 100 175 cc thông tin xe dòng xe tay ga cao cấp yamaha latte 125 máy mạnh tiết kiệm xăng màu đen nhám phối yên nâu xe thuộc phiên bản cao cấp có hệ thống stop start system giúp tiết kiệm nhiên liệu và giảm khí thải odo hiện tại hơn 24 000 km bảo dưỡng đều máy móc vẫn rất ổn định đăng ký lần đầu tháng 3 2021 máy zin đề nhạy vận hành êm cốp xe rộng tiện để nón túi xách bánh còn tốt phanh an toàn đèn đóm đầy đủ quận 1 tp hcm xem xe trực tiếp tại nhà theo hẹn giá bán 23 triệu
6,sym,elegant,xe số,dưới 50 cc,7.5,25000,7.0,3521.1267605633807,175000.0,2.1400661634962708,xe hoc sinh di hoc nay có bằng lái muốn bán lại sym elegant xe số dưới 50 cc xe cup 50 cc không cần bằng lái chay im không hao xăng đề 1 cái chạy
7,honda,air blade,tay ga,100 175 cc,16.0,80000,12.0,6611.570247933884,960000.0,2.833213344056216,xe air blade 2013 honda air blade tay ga 100 175 cc xe air blade 2013 bst số km 80 000 xe mới fix giá cả thương lượng thêm
8,honda,wave,xe số,50 100 cc,7.3,2,22.0,0.09049773755656108,44.0,2.1162555148025524,bán xe wave hq up dàn áo leng keng honda wave xe số 50 100 cc cục máy làm chạy nhẹ xe dàn áo còn keng bstp bao tranh chấp gtdd 09 c giá 7 tr3 fix xăng cộ ae xem xe cô dì chú bán ae ưng ý thì kb zalo eml
9,yamaha,sirius,xe số,100 175 cc,7.5,35000,10.0,3465.3465346534654,350000.0,2.1400661634962708,cần bán xe để đối xe nên để giá yêu thương yamaha sirius xe số 100 175 cc xe chính chủ xe chạy còn ngon máy mạnh bị bể bửng trước lh
10,honda,lead,tay ga,100 175 cc,33.0,20000,5.0,3921.568627450981,100000.0,3.5263605246161616,xe honda lead 2020 bstp bản giới hạn đèn led honda lead tay ga 100 175 cc mình đi xuất cảnh định cư nên cần bán chiếc xe honda lead 2020 bstp xe nhà ít đi bảo dưỡng đầy đủ nên xe còn rất mới zin từ trong ra ngoài nước sơn zin ko dặm tút máy móc zin êm chạy rất mạnh và nhẹ ga xe này mua về là đi thôi ko phải làm gì hết xe sài smakey còn đủ 2 kính xe màu đỏ đô tới xem xe phát hiện ra chổ nào ko zin hoặc dậm tút tặng luôn xe mình là nguoi dùng bán chứ ko phải cò lái giấy tờ hợp pháp mua bán ra phòng công chứng công chứng sang tên luôn
11,kawasaki,dòng khác,tay côn moto,trên 175 cc,19.9,99000,,,,3.039749158970765,bán gấp kawasaki gpz400 1973 kawasaki dòng khác tay côn moto trên 175 cc xe zin keng rất đẹp có giá trị trưng bày và sưu tầm cao xem xe ở q1 hcm
12,honda,sh,tay ga,100 175 cc,100.0,8000,20.0,398.0099502487562,160000.0,4.61512051684126,sh ý zin honda sh tay ga 100 175 cc ai có nhu cầu mua xe liên hệ sdt xem xe trực tiếp quận 1 hcm
13,sym,wolf,tay côn moto,100 175 cc,14.8,10000,9.0,1098.901098901099,90000.0,2.760009940032921,bán xe wolf 125 cc sym wolf tay côn moto 100 175 cc tình trạng đồ zin còn 80 có độ cafe nhẹ máy êm mạnh nổ thì thầm hệ thống đèn còi xi nhan còn hoạt động tốt biển số tp dễ nhìn chia sẽ cho ae cùng đam mê xem xe quận 1 hoặc tân bình buổi tối cảm ơn chợ tốt đã duyệt tin
14,yamaha,exciter,xe số,100 175 cc,18.5,20000,11.0,1801.801801801802,220000.0,2.970414465569701,ex zin 2014 xuống áo ngay chủ yamaha exciter xe số 100 175 cc ex 2014 máy zin nhẹ xe xuống áo chuẩn bstp xe ngay mình đứng tên ae mau lẹ bớt lộc lh 177 ky con phuong nguyên thái bình q 1 bạn nào có ab hoac lead trao đổi bù trừ tuy theo đời xe nhé
15,honda,vario,tay ga,100 175 cc,37.0,900,1.0,818.1818181818181,900.0,3.6375861597263857,siêu lướt như mới dính pháp lý hôn nhân honda vario tay ga 100 175 cc vario 160 2024 xe nhà ít đi siêu lướt siêu mới dính pháp lý hôn nhân chính chủ ghi giấy tay kèm cccd
16,hãng khác,dòng khác,tay ga,100 175 cc,6.0,300000,24.0,12448.132780082988,7200000.0,1.9459101490553132,xe vespa paggio xanh hãng khác dòng khác tay ga 100 175 cc cần bán xe vespa xanh ngọc như hình tại quận 1
17,honda,air blade,tay ga,100 175 cc,11.0,70000,2.0,33333.33333333333,140000.0,2.4849066497880004,bán xe ab đầu bò đen nhám honda air blade tay ga 100 175 cc dư xe cần bán có fix mọi chức năng hoạt động bình thường khung sườn keng nội thất ko hoen rỉ mục nát đinh tán còn sơn phết có chống trộm chỉ có dàn áo trầy nhẹ theo năm tháng miễn trung gian xe biển tp mua bán công chứng giữa người mua bán giao cà vẹt
18,honda,cub,xe số,100 175 cc,83.0,8600,3.0,2774.1935483870966,25800.0,4.430816798843313,bán cup125 xe như mới đầy đủ phụ kiện theo xe mới honda cub xe số 100 175 cc bán cup125 xe như mới đầy đủ phụ kiện theo xe mới lấy xe đen mới mua đưa qua do đổi xe đen nên nhượng lại xe xanh chỉ để dành đi học cavet chính chủ bso đẹp có thể ủy quyền cho khách đi thoải mái fix nhẹ cho ae chung đam mê cup125
19,honda,vario,tay ga,100 175 cc,33.0,27000,6.0,4426.229508196721,162000.0,3.5263605246161616,vario đen honda vario tay ga 100 175 cc bán xe như ảnh chính chủ ủy quyền lần 2 mua về chỉ đổ xăng là đi nhớt lọc gió mới thay lọc gió k n bớt 500 k cho người thiện chí mua lưu ý mấy a cò vạc khướu tu hú có thấy tin e đăng thì đừng trả giá dìm e chỉ bớt 500 k cho người thiện chí mua sử dụng còn trả dưới giá e k bán đỡ mất thời gian đôi bên
20,piaggio,vespa,tay ga,100 175 cc,30.0,23000,9.0,2527.4725274725274,207000.0,3.4339872044851463,cần bán xe vespa cũ 3 vie 125 đời 2016 màu trắng piaggio vespa tay ga 100 175 cc xe còn chạy tốt do ít sử dụng nên bán lại khách thiện chí có thể thương lượng được giá tốt
21,honda,sh,tay ga,100 175 cc,65.0,38000,17.0,2222.222222222222,646000.0,4.189654742026425,bán nhanh lẹ honda sh tay ga 100 175 cc hàng quốc dân anh em ai cũng thích dễ chơi dễ trải nghiệm sh150 ý đời 2008 dọn full fom ý anh em nhìn hình đánh giá em bán nhanh gọn lẹ 6 xxx tiểu học anh em dễ chơi công chúng mua bán nhanh gọn lẹ sau khi giao dịch thành công em ở q1 em khanh lubu 9 tuổi
22,honda,vision,tay ga,100 175 cc,29.9,2642,3.0,852.258064516129,7926.0,3.4307561839036995,honda vision 2022 mới 99 màu xanh đen nhám honda vision tay ga 100 175 cc honda vision đời 2022 giá 29 tr 900 k hãng xe honda đăng kí bao rút hồ sơ đảm bảo giấy tờ sang tên thoải mái dung tích 110 cc phun xăng điện tử fi màu xanh đen cam kết động cơ và máy nguyên zin xe không đâm đụng không ngập nước
23,honda,wave,xe số,100 175 cc,9.0,450000,10.0,44554.455445544554,4500000.0,2.302585092994046,wave s giá thương lượng honda wave xe số 100 175 cc xe nhà ít dùng nên bán lốp xe mới ngoại hình còn mới máy chạy êm giá thương lượng cho khách thiện chí
24,honda,wave,xe số,100 175 cc,15.0,6000,11.0,540.5405405405405,66000.0,2.772588722239781,do đổi xe cần sang xe honda wave xe số 100 175 cc bán xe wave rsx fi 2014 cần bán giữ kỹ chạy ít cho ai có nhu cầu cần thiết sử dụng nhanh gọn bớt chút lộc cho ai tới sớm
25,honda,cbr,tay côn moto,100 175 cc,31.999,9999,6.0,1639.1803278688526,59994.0,3.496477257977031,honda cbr150 honda cbr tay côn moto 100 175 cc cần bán cbr150 năm 2019 xe ít đi anh chị nào quan tâm xin liên lạc xem xe xin cảm ơn anh chị đã đọc tin
